,#,Date,Category,Winner,Movie,Wikipedia_URL
48,58th,"March 24, 1986",Best Documentary (Feature),False,Unfinished Business,https://en.wikipedia.org/wiki/58th_Academy_Awards
49,58th,"March 24, 1986",Best Documentary (Short Subject),True,Witness to War: Dr. Charlie Clements,https://en.wikipedia.org/wiki/58th_Academy_Awards
50,58th,"March 24, 1986",Best Documentary (Short Subject),False,The Courage to Care,https://en.wikipedia.org/wiki/58th_Academy_Awards
51,58th,"March 24, 1986",Best Documentary (Short Subject),False,Keats and His Nightingale: A Blind Date,https://en.wikipedia.org/wiki/58th_Academy_Awards
52,58th,"March 24, 1986",Best Documentary (Short Subject),False,Making Overtures: The Story of a Community Orchestra,https://en.wikipedia.org/wiki/58th_Academy_Awards
53,58th,"March 24, 1986",Best Documentary (Short Subject),False,The Wizard of the Strings,https://en.wikipedia.org/wiki/58th_Academy_Awards
54,58th,"March 24, 1986",Best Short Film (Live Action),True,Molly's Pilgrim,https://en.wikipedia.org/wiki/58th_Academy_Awards
55,58th,"March 24, 1986",Best Short Film (Live Action),False,Rainbow War,https://en.wikipedia.org/wiki/58th_Academy_Awards
56,58th,"March 24, 1986",Best Short Film (Animated),True,Anna & Bella,https://en.wikipedia.org/wiki/58th_Academy_Awards
57,58th,"March 24, 1986",Best Short Film (Animated),False,The Big Snit,https://en.wikipedia.org/wiki/58th_Academy_Awards
58,58th,"March 24, 1986",Best Music (Original Score),True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
59,58th,"March 24, 1986",Best Music (Original Score),False,Agnes of God,https://en.wikipedia.org/wiki/58th_Academy_Awards
60,58th,"March 24, 1986",Best Music (Original Score),False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
61,58th,"March 24, 1986",Best Music (Original Score),False,Silverado,https://en.wikipedia.org/wiki/58th_Academy_Awards
62,58th,"March 24, 1986",Best Music (Original Score),False,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
63,58th,"March 24, 1986",Best Music (Original Song),True,White Nights,https://en.wikipedia.org/wiki/58th_Academy_Awards
64,58th,"March 24, 1986",Best Music (Original Song),False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
65,58th,"March 24, 1986",Best Music (Original Song),False,Back to the Future,https://en.wikipedia.org/wiki/58th_Academy_Awards
66,58th,"March 24, 1986",Best Music (Original Song),False,White Nights,https://en.wikipedia.org/wiki/58th_Academy_Awards
67,58th,"March 24, 1986",Best Music (Original Song),False,A Chorus Line,https://en.wikipedia.org/wiki/58th_Academy_Awards
68,58th,"March 24, 1986",Best Sound Effects Editing,True,Back to the Future,https://en.wikipedia.org/wiki/58th_Academy_Awards
69,58th,"March 24, 1986",Best Sound Effects Editing,False,Ladyhawke,https://en.wikipedia.org/wiki/58th_Academy_Awards
70,58th,"March 24, 1986",Best Sound Effects Editing,False,Rambo: First Blood Part II,https://en.wikipedia.org/wiki/58th_Academy_Awards
71,58th,"March 24, 1986",Best Sound,True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
72,58th,"March 24, 1986",Best Sound,False,Back to the Future,https://en.wikipedia.org/wiki/58th_Academy_Awards
73,58th,"March 24, 1986",Best Sound,False,A Chorus Line,https://en.wikipedia.org/wiki/58th_Academy_Awards
