,#,Date,Category,Winner,Movie,Wikipedia_URL
1291,70th,"March 23, 1998",Best Documentary (Short Subject),False,Amazon,https://en.wikipedia.org/wiki/70th_Academy_Awards
1292,70th,"March 23, 1998",Best Documentary (Short Subject),False,Family Video Diaries: Daughter of the Bride,https://en.wikipedia.org/wiki/70th_Academy_Awards
1293,70th,"March 23, 1998",Best Documentary (Short Subject),False,Still Kicking: The Fabulous Palm Springs Follies,https://en.wikipedia.org/wiki/70th_Academy_Awards
1294,70th,"March 23, 1998",Best Short Film (Live Action),True,Visas and Virtue,https://en.wikipedia.org/wiki/70th_Academy_Awards
1295,70th,"March 23, 1998",Best Short Film (Live Action),False,Dance Lexie Dance,https://en.wikipedia.org/wiki/70th_Academy_Awards
1296,70th,"March 23, 1998",Best Short Film (Animated),True,Geri's Game,https://en.wikipedia.org/wiki/70th_Academy_Awards
1297,70th,"March 23, 1998",Best Short Film (Animated),False,Famous Fred,https://en.wikipedia.org/wiki/70th_Academy_Awards
1298,70th,"March 23, 1998",Best Short Film (Animated),False,The Old Lady and the Pigeons,https://en.wikipedia.org/wiki/70th_Academy_Awards
1299,70th,"March 23, 1998",Best Short Film (Animated),False,Redux Riding Hood,https://en.wikipedia.org/wiki/70th_Academy_Awards
1300,70th,"March 23, 1998",Best Short Film (Animated),False,Rusalka,https://en.wikipedia.org/wiki/70th_Academy_Awards
1301,70th,"March 23, 1998",Best Music (Original Dramatic Score),True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1302,70th,"March 23, 1998",Best Music (Original Dramatic Score),False,Amistad,https://en.wikipedia.org/wiki/70th_Academy_Awards
1303,70th,"March 23, 1998",Best Music (Original Dramatic Score),False,Good Will Hunting,https://en.wikipedia.org/wiki/70th_Academy_Awards
1304,70th,"March 23, 1998",Best Music (Original Dramatic Score),False,Kundun,https://en.wikipedia.org/wiki/70th_Academy_Awards
1305,70th,"March 23, 1998",Best Music (Original Dramatic Score),False,L.A. Confidential,https://en.wikipedia.org/wiki/70th_Academy_Awards
1306,70th,"March 23, 1998",Best Music (Original Musical or Comedy Score),True,The Full Monty,https://en.wikipedia.org/wiki/70th_Academy_Awards
1307,70th,"March 23, 1998",Best Music (Original Musical or Comedy Score),False,Anastasia,https://en.wikipedia.org/wiki/70th_Academy_Awards
1308,70th,"March 23, 1998",Best Music (Original Musical or Comedy Score),False,As Good as It Gets,https://en.wikipedia.org/wiki/70th_Academy_Awards
1309,70th,"March 23, 1998",Best Music (Original Musical or Comedy Score),False,Men in Black,https://en.wikipedia.org/wiki/70th_Academy_Awards
1310,70th,"March 23, 1998",Best Music (Original Musical or Comedy Score),False,My Best Friend's Wedding,https://en.wikipedia.org/wiki/70th_Academy_Awards
1311,70th,"March 23, 1998",Best Music (Original Song),True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1312,70th,"March 23, 1998",Best Music (Original Song),False,Hercules,https://en.wikipedia.org/wiki/70th_Academy_Awards
1313,70th,"March 23, 1998",Best Music (Original Song),False,Anastasia,https://en.wikipedia.org/wiki/70th_Academy_Awards
1314,70th,"March 23, 1998",Best Music (Original Song),False,Con Air,https://en.wikipedia.org/wiki/70th_Academy_Awards
1315,70th,"March 23, 1998",Best Music (Original Song),False,Good Will Hunting,https://en.wikipedia.org/wiki/70th_Academy_Awards
1316,70th,"March 23, 1998",Best Sound Effects Editing,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1317,70th,"March 23, 1998",Best Sound Effects Editing,False,Face/Off,https://en.wikipedia.org/wiki/70th_Academy_Awards
1318,70th,"March 23, 1998",Best Sound Effects Editing,False,The Fifth Element,https://en.wikipedia.org/wiki/70th_Academy_Awards
1319,70th,"March 23, 1998",Best Sound,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1320,70th,"March 23, 1998",Best Sound,False,Air Force One,https://en.wikipedia.org/wiki/70th_Academy_Awards
1321,70th,"March 23, 1998",Best Sound,False,Con Air,https://en.wikipedia.org/wiki/70th_Academy_Awards
1322,70th,"March 23, 1998",Best Sound,False,Contact,https://en.wikipedia.org/wiki/70th_Academy_Awards
1323,70th,"March 23, 1998",Best Sound,False,L.A. Confidential,https://en.wikipedia.org/wiki/70th_Academy_Awards
1324,70th,"March 23, 1998",Best Art Direction,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1325,70th,"March 23, 1998",Best Art Direction,False,Gattaca,https://en.wikipedia.org/wiki/70th_Academy_Awards
1326,70th,"March 23, 1998",Best Art Direction,False,Kundun,https://en.wikipedia.org/wiki/70th_Academy_Awards
1327,70th,"March 23, 1998",Best Art Direction,False,L.A. Confidential,https://en.wikipedia.org/wiki/70th_Academy_Awards
1328,70th,"March 23, 1998",Best Art Direction,False,Men in Black,https://en.wikipedia.org/wiki/70th_Academy_Awards
1329,70th,"March 23, 1998",Best Cinematography,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1330,70th,"March 23, 1998",Best Cinematography,False,Amistad,https://en.wikipedia.org/wiki/70th_Academy_Awards
1331,70th,"March 23, 1998",Best Cinematography,False,Kundun,https://en.wikipedia.org/wiki/70th_Academy_Awards
1332,70th,"March 23, 1998",Best Cinematography,False,L.A. Confidential,https://en.wikipedia.org/wiki/70th_Academy_Awards
1333,70th,"March 23, 1998",Best Cinematography,False,The Wings of the Dove,https://en.wikipedia.org/wiki/70th_Academy_Awards
1334,70th,"March 23, 1998",Best Makeup,True,Men in Black,https://en.wikipedia.org/wiki/70th_Academy_Awards
1335,70th,"March 23, 1998",Best Makeup,False,Mrs Brown,https://en.wikipedia.org/wiki/70th_Academy_Awards
1336,70th,"March 23, 1998",Best Makeup,False,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1337,70th,"March 23, 1998",Best Costume Design,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1338,70th,"March 23, 1998",Best Costume Design,False,Amistad,https://en.wikipedia.org/wiki/70th_Academy_Awards
1339,70th,"March 23, 1998",Best Costume Design,False,Kundun,https://en.wikipedia.org/wiki/70th_Academy_Awards
1340,70th,"March 23, 1998",Best Costume Design,False,Oscar and Lucinda,https://en.wikipedia.org/wiki/70th_Academy_Awards
1341,70th,"March 23, 1998",Best Costume Design,False,The Wings of the Dove,https://en.wikipedia.org/wiki/70th_Academy_Awards
1342,70th,"March 23, 1998",Best Film Editing,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1343,70th,"March 23, 1998",Best Film Editing,False,Air Force One,https://en.wikipedia.org/wiki/70th_Academy_Awards
1344,70th,"March 23, 1998",Best Film Editing,False,As Good as It Gets,https://en.wikipedia.org/wiki/70th_Academy_Awards
1345,70th,"March 23, 1998",Best Film Editing,False,Good Will Hunting,https://en.wikipedia.org/wiki/70th_Academy_Awards
1346,70th,"March 23, 1998",Best Film Editing,False,L.A. Confidential,https://en.wikipedia.org/wiki/70th_Academy_Awards
1347,70th,"March 23, 1998",Best Visual Effects,True,Titanic,https://en.wikipedia.org/wiki/70th_Academy_Awards
1348,70th,"March 23, 1998",Best Visual Effects,False,The Lost World: Jurassic Park,https://en.wikipedia.org/wiki/70th_Academy_Awards
1349,70th,"March 23, 1998",Best Visual Effects,False,Starship Troopers,https://en.wikipedia.org/wiki/70th_Academy_Awards
1350,71st,"March 21, 1999",Best Picture,True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1351,71st,"March 21, 1999",Best Picture,False,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1352,71st,"March 21, 1999",Best Picture,False,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1353,71st,"March 21, 1999",Best Picture,False,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1354,71st,"March 21, 1999",Best Picture,False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1355,71st,"March 21, 1999",Best Directing,True,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1356,71st,"March 21, 1999",Best Directing,False,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1357,71st,"March 21, 1999",Best Directing,False,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1358,71st,"March 21, 1999",Best Directing,False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1359,71st,"March 21, 1999",Best Directing,False,The Truman Show,https://en.wikipedia.org/wiki/71st_Academy_Awards
1360,71st,"March 21, 1999",Best Actor in a Leading Role,True,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1361,71st,"March 21, 1999",Best Actor in a Leading Role,False,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1362,71st,"March 21, 1999",Best Actor in a Leading Role,False,Gods and Monsters,https://en.wikipedia.org/wiki/71st_Academy_Awards
1363,71st,"March 21, 1999",Best Actor in a Leading Role,False,Affliction,https://en.wikipedia.org/wiki/71st_Academy_Awards
1364,71st,"March 21, 1999",Best Actor in a Leading Role,False,American History X,https://en.wikipedia.org/wiki/71st_Academy_Awards
1365,71st,"March 21, 1999",Best Actress in a Leading Role,True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1366,71st,"March 21, 1999",Best Actress in a Leading Role,False,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1367,71st,"March 21, 1999",Best Actress in a Leading Role,False,Central Station,https://en.wikipedia.org/wiki/71st_Academy_Awards
1368,71st,"March 21, 1999",Best Actress in a Leading Role,False,One True Thing,https://en.wikipedia.org/wiki/71st_Academy_Awards
1369,71st,"March 21, 1999",Best Actress in a Leading Role,False,Hilary and Jackie,https://en.wikipedia.org/wiki/71st_Academy_Awards
1370,71st,"March 21, 1999",Best Actor in a Supporting Role,True,Affliction,https://en.wikipedia.org/wiki/71st_Academy_Awards
1371,71st,"March 21, 1999",Best Actor in a Supporting Role,False,A Civil Action,https://en.wikipedia.org/wiki/71st_Academy_Awards
1372,71st,"March 21, 1999",Best Actor in a Supporting Role,False,The Truman Show,https://en.wikipedia.org/wiki/71st_Academy_Awards
1373,71st,"March 21, 1999",Best Actor in a Supporting Role,False,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1374,71st,"March 21, 1999",Best Actor in a Supporting Role,False,A Simple Plan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1375,71st,"March 21, 1999",Best Actress in a Supporting Role,True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1376,71st,"March 21, 1999",Best Actress in a Supporting Role,False,Primary Colors,https://en.wikipedia.org/wiki/71st_Academy_Awards
1377,71st,"March 21, 1999",Best Actress in a Supporting Role,False,Little Voice,https://en.wikipedia.org/wiki/71st_Academy_Awards
1378,71st,"March 21, 1999",Best Actress in a Supporting Role,False,Hilary and Jackie,https://en.wikipedia.org/wiki/71st_Academy_Awards
1379,71st,"March 21, 1999",Best Actress in a Supporting Role,False,Gods and Monsters,https://en.wikipedia.org/wiki/71st_Academy_Awards
1380,71st,"March 21, 1999",Best Writing (Screenplay Written Directly for the Screen),True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1381,71st,"March 21, 1999",Best Writing (Screenplay Written Directly for the Screen),False,Bulworth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1382,71st,"March 21, 1999",Best Writing (Screenplay Written Directly for the Screen),False,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1383,71st,"March 21, 1999",Best Writing (Screenplay Written Directly for the Screen),False,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1384,71st,"March 21, 1999",Best Writing (Screenplay Written Directly for the Screen),False,The Truman Show,https://en.wikipedia.org/wiki/71st_Academy_Awards
1385,71st,"March 21, 1999",Best Writing (Screenplay Based on Material Previously Produced or Published),True,Gods and Monsters,https://en.wikipedia.org/wiki/71st_Academy_Awards
1386,71st,"March 21, 1999",Best Writing (Screenplay Based on Material Previously Produced or Published),False,Out of Sight,https://en.wikipedia.org/wiki/71st_Academy_Awards
1387,71st,"March 21, 1999",Best Writing (Screenplay Based on Material Previously Produced or Published),False,Primary Colors,https://en.wikipedia.org/wiki/71st_Academy_Awards
1388,71st,"March 21, 1999",Best Writing (Screenplay Based on Material Previously Produced or Published),False,A Simple Plan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1389,71st,"March 21, 1999",Best Writing (Screenplay Based on Material Previously Produced or Published),False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1390,71st,"March 21, 1999",Best Foreign Language Film,True,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1391,71st,"March 21, 1999",Best Foreign Language Film,False,Central Station,https://en.wikipedia.org/wiki/71st_Academy_Awards
1392,71st,"March 21, 1999",Best Foreign Language Film,False,Children of Heaven,https://en.wikipedia.org/wiki/71st_Academy_Awards
1393,71st,"March 21, 1999",Best Foreign Language Film,False,The Grandfather,https://en.wikipedia.org/wiki/71st_Academy_Awards
1394,71st,"March 21, 1999",Best Foreign Language Film,False,Tango,https://en.wikipedia.org/wiki/71st_Academy_Awards
1395,71st,"March 21, 1999",Best Documentary (Feature),True,The Last Days,https://en.wikipedia.org/wiki/71st_Academy_Awards
1396,71st,"March 21, 1999",Best Documentary (Feature),False,Dancemaker,https://en.wikipedia.org/wiki/71st_Academy_Awards
1397,71st,"March 21, 1999",Best Documentary (Feature),False,"The Farm: Angola, USA",https://en.wikipedia.org/wiki/71st_Academy_Awards
1398,71st,"March 21, 1999",Best Documentary (Feature),False,Lenny Bruce: Swear to Tell the Truth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1399,71st,"March 21, 1999",Best Documentary (Feature),False,Regret to Inform,https://en.wikipedia.org/wiki/71st_Academy_Awards
1400,71st,"March 21, 1999",Best Documentary (Short Subject),True,The Personals: Improvisations on Romance in the Golden Years,https://en.wikipedia.org/wiki/71st_Academy_Awards
1401,71st,"March 21, 1999",Best Documentary (Short Subject),False,A Place in the Land,https://en.wikipedia.org/wiki/71st_Academy_Awards
1402,71st,"March 21, 1999",Best Documentary (Short Subject),False,Sunrise Over Tiananmen Square,https://en.wikipedia.org/wiki/71st_Academy_Awards
1403,71st,"March 21, 1999",Best Short Film (Live Action),True,Election Night,https://en.wikipedia.org/wiki/71st_Academy_Awards
1404,71st,"March 21, 1999",Best Short Film (Animated),True,Bunny,https://en.wikipedia.org/wiki/71st_Academy_Awards
1405,71st,"March 21, 1999",Best Short Film (Animated),False,More,https://en.wikipedia.org/wiki/71st_Academy_Awards
1406,71st,"March 21, 1999",Best Short Film (Animated),False,When Life Departs,https://en.wikipedia.org/wiki/71st_Academy_Awards
1407,71st,"March 21, 1999",Best Music (Original Dramatic Score),True,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1408,71st,"March 21, 1999",Best Music (Original Dramatic Score),False,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1409,71st,"March 21, 1999",Best Music (Original Dramatic Score),False,Pleasantville,https://en.wikipedia.org/wiki/71st_Academy_Awards
1410,71st,"March 21, 1999",Best Music (Original Dramatic Score),False,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1411,71st,"March 21, 1999",Best Music (Original Dramatic Score),False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1412,71st,"March 21, 1999",Best Music (Original Musical or Comedy Score),True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1413,71st,"March 21, 1999",Best Music (Original Musical or Comedy Score),False,A Bug's Life,https://en.wikipedia.org/wiki/71st_Academy_Awards
1414,71st,"March 21, 1999",Best Music (Original Musical or Comedy Score),False,Mulan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1415,71st,"March 21, 1999",Best Music (Original Musical or Comedy Score),False,Patch Adams,https://en.wikipedia.org/wiki/71st_Academy_Awards
1416,71st,"March 21, 1999",Best Music (Original Musical or Comedy Score),False,The Prince of Egypt,https://en.wikipedia.org/wiki/71st_Academy_Awards
1417,71st,"March 21, 1999",Best Music (Original Song),True,The Prince of Egypt,https://en.wikipedia.org/wiki/71st_Academy_Awards
1418,71st,"March 21, 1999",Best Music (Original Song),False,Armageddon,https://en.wikipedia.org/wiki/71st_Academy_Awards
1419,71st,"March 21, 1999",Best Music (Original Song),False,Babe: Pig in the City,https://en.wikipedia.org/wiki/71st_Academy_Awards
1420,71st,"March 21, 1999",Best Music (Original Song),False,The Horse Whisperer,https://en.wikipedia.org/wiki/71st_Academy_Awards
1421,71st,"March 21, 1999",Best Music (Original Song),False,Quest for Camelot,https://en.wikipedia.org/wiki/71st_Academy_Awards
1422,71st,"March 21, 1999",Best Sound Effects Editing,True,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1423,71st,"March 21, 1999",Best Sound Effects Editing,False,Armageddon,https://en.wikipedia.org/wiki/71st_Academy_Awards
1424,71st,"March 21, 1999",Best Sound Effects Editing,False,The Mask of Zorro,https://en.wikipedia.org/wiki/71st_Academy_Awards
1425,71st,"March 21, 1999",Best Sound,True,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1426,71st,"March 21, 1999",Best Sound,False,Armageddon,https://en.wikipedia.org/wiki/71st_Academy_Awards
1427,71st,"March 21, 1999",Best Sound,False,The Mask of Zorro,https://en.wikipedia.org/wiki/71st_Academy_Awards
1428,71st,"March 21, 1999",Best Sound,False,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1429,71st,"March 21, 1999",Best Sound,False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1430,71st,"March 21, 1999",Best Art Direction,True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1431,71st,"March 21, 1999",Best Art Direction,False,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1432,71st,"March 21, 1999",Best Art Direction,False,Pleasantville,https://en.wikipedia.org/wiki/71st_Academy_Awards
1433,71st,"March 21, 1999",Best Art Direction,False,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1434,71st,"March 21, 1999",Best Art Direction,False,What Dreams May Come,https://en.wikipedia.org/wiki/71st_Academy_Awards
1435,71st,"March 21, 1999",Best Cinematography,True,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1436,71st,"March 21, 1999",Best Cinematography,False,A Civil Action,https://en.wikipedia.org/wiki/71st_Academy_Awards
1437,71st,"March 21, 1999",Best Cinematography,False,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1438,71st,"March 21, 1999",Best Cinematography,False,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1439,71st,"March 21, 1999",Best Cinematography,False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1440,71st,"March 21, 1999",Best Makeup,True,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1441,71st,"March 21, 1999",Best Makeup,False,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1442,71st,"March 21, 1999",Best Makeup,False,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1443,71st,"March 21, 1999",Best Costume Design,True,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1444,71st,"March 21, 1999",Best Costume Design,False,Beloved,https://en.wikipedia.org/wiki/71st_Academy_Awards
1445,71st,"March 21, 1999",Best Costume Design,False,Elizabeth,https://en.wikipedia.org/wiki/71st_Academy_Awards
1446,71st,"March 21, 1999",Best Costume Design,False,Pleasantville,https://en.wikipedia.org/wiki/71st_Academy_Awards
1447,71st,"March 21, 1999",Best Costume Design,False,Velvet Goldmine,https://en.wikipedia.org/wiki/71st_Academy_Awards
1448,71st,"March 21, 1999",Best Film Editing,True,Saving Private Ryan,https://en.wikipedia.org/wiki/71st_Academy_Awards
1449,71st,"March 21, 1999",Best Film Editing,False,Life Is Beautiful,https://en.wikipedia.org/wiki/71st_Academy_Awards
1450,71st,"March 21, 1999",Best Film Editing,False,Out of Sight,https://en.wikipedia.org/wiki/71st_Academy_Awards
1451,71st,"March 21, 1999",Best Film Editing,False,Shakespeare in Love,https://en.wikipedia.org/wiki/71st_Academy_Awards
1452,71st,"March 21, 1999",Best Film Editing,False,The Thin Red Line,https://en.wikipedia.org/wiki/71st_Academy_Awards
1453,71st,"March 21, 1999",Best Visual Effects,True,What Dreams May Come,https://en.wikipedia.org/wiki/71st_Academy_Awards
1454,71st,"March 21, 1999",Best Visual Effects,False,Armageddon,https://en.wikipedia.org/wiki/71st_Academy_Awards
1455,71st,"March 21, 1999",Best Visual Effects,False,Mighty Joe Young,https://en.wikipedia.org/wiki/71st_Academy_Awards
1456,72nd,"March 26, 2000",Best Picture,True,American Beauty,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1457,72nd,"March 26, 2000",Best Picture,False,The Cider House Rules,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1458,72nd,"March 26, 2000",Best Picture,False,The Green Mile,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1459,72nd,"March 26, 2000",Best Picture,False,The Insider,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1460,72nd,"March 26, 2000",Best Picture,False,The Sixth Sense,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1461,72nd,"March 26, 2000",Best Directing,True,American Beauty,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1462,72nd,"March 26, 2000",Best Directing,False,The Cider House Rules,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1463,72nd,"March 26, 2000",Best Directing,False,Being John Malkovich,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1464,72nd,"March 26, 2000",Best Directing,False,The Insider,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1465,72nd,"March 26, 2000",Best Directing,False,The Sixth Sense,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1466,72nd,"March 26, 2000",Best Actor in a Leading Role,True,American Beauty,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1467,72nd,"March 26, 2000",Best Actor in a Leading Role,False,The Insider,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1468,72nd,"March 26, 2000",Best Actor in a Leading Role,False,The Straight Story,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1469,72nd,"March 26, 2000",Best Actor in a Leading Role,False,Sweet and Lowdown,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1470,72nd,"March 26, 2000",Best Actor in a Leading Role,False,The Hurricane,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1471,72nd,"March 26, 2000",Best Actress in a Leading Role,True,Boys Don't Cry,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1472,72nd,"March 26, 2000",Best Actress in a Leading Role,False,American Beauty,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1473,72nd,"March 26, 2000",Best Actress in a Leading Role,False,Tumbleweeds,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1474,72nd,"March 26, 2000",Best Actress in a Leading Role,False,The End of the Affair,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1475,72nd,"March 26, 2000",Best Actress in a Leading Role,False,Music of the Heart,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1476,72nd,"March 26, 2000",Best Actor in a Supporting Role,True,The Cider House Rules,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1477,72nd,"March 26, 2000",Best Actor in a Supporting Role,False,Magnolia,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1478,72nd,"March 26, 2000",Best Actor in a Supporting Role,False,The Green Mile,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1479,72nd,"March 26, 2000",Best Actor in a Supporting Role,False,The Talented Mr. Ripley,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1480,72nd,"March 26, 2000",Best Actor in a Supporting Role,False,The Sixth Sense,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1481,72nd,"March 26, 2000",Best Actress in a Supporting Role,True,"Girl, Interrupted",https://en.wikipedia.org/wiki/72nd_Academy_Awards
1482,72nd,"March 26, 2000",Best Actress in a Supporting Role,False,The Sixth Sense,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1483,72nd,"March 26, 2000",Best Actress in a Supporting Role,False,Being John Malkovich,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1484,72nd,"March 26, 2000",Best Actress in a Supporting Role,False,Sweet and Lowdown,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1485,72nd,"March 26, 2000",Best Actress in a Supporting Role,False,Boys Don't Cry,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1486,72nd,"March 26, 2000",Best Writing (Screenplay Written Directly for the Screen),True,American Beauty,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1487,72nd,"March 26, 2000",Best Writing (Screenplay Written Directly for the Screen),False,Being John Malkovich,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1488,72nd,"March 26, 2000",Best Writing (Screenplay Written Directly for the Screen),False,Magnolia,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1489,72nd,"March 26, 2000",Best Writing (Screenplay Written Directly for the Screen),False,The Sixth Sense,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1490,72nd,"March 26, 2000",Best Writing (Screenplay Written Directly for the Screen),False,Topsy-Turvy,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1491,72nd,"March 26, 2000",Best Writing (Screenplay Based on Material Previously Produced or Published),True,The Cider House Rules,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1492,72nd,"March 26, 2000",Best Writing (Screenplay Based on Material Previously Produced or Published),False,Election,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1493,72nd,"March 26, 2000",Best Writing (Screenplay Based on Material Previously Produced or Published),False,The Green Mile,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1494,72nd,"March 26, 2000",Best Writing (Screenplay Based on Material Previously Produced or Published),False,The Insider,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1495,72nd,"March 26, 2000",Best Writing (Screenplay Based on Material Previously Produced or Published),False,Vanity Fair,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1496,72nd,"March 26, 2000",Best Writing (Screenplay Based on Material Previously Produced or Published),False,The Talented Mr. Ripley,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1497,72nd,"March 26, 2000",Best Foreign Language Film,True,All About My Mother,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1498,72nd,"March 26, 2000",Best Foreign Language Film,False,East/West,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1499,72nd,"March 26, 2000",Best Foreign Language Film,False,Himalaya: Caravan,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1500,72nd,"March 26, 2000",Best Foreign Language Film,False,Solomon & Gaenor,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1501,72nd,"March 26, 2000",Best Foreign Language Film,False,Under the Sun,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1502,72nd,"March 26, 2000",Best Documentary (Feature),True,One Day in September,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1503,72nd,"March 26, 2000",Best Documentary (Feature),False,Buena Vista Social Club,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1504,72nd,"March 26, 2000",Best Documentary (Feature),False,Genghis Blues,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1505,72nd,"March 26, 2000",Best Documentary (Feature),False,On the Ropes,https://en.wikipedia.org/wiki/72nd_Academy_Awards
1506,72nd,"March 26, 2000",Best Documentary (Feature),False,Speaking in Strings,https://en.wikipedia.org/wiki/72nd_Academy_Awards
